Name,Slug,Brand,Group,Collection,Tagline,Description,Category Slug,Category Label,Subcategory Slug,Subcategory Label,Price,Rating,Reviews Count,Protocols,Functions,Compatibility,Primary Feature Title,Primary Feature Text
Sunricher SR-SBP2801KS,sunricher-sr-sbp2801ks,Sunricher,b2b,Professional · 2.4G Mesh,Кинетический беспроводной выключатель,"Инновационный выключатель, которому не нужны батарейки. Вырабатывает энергию от самого нажатия клавиши.",control,Управление,wireless-buttons,Беспроводные выключатели,15200,4.9,90,RF 2.4G Mesh · Bluetooth,Диммирование · CCT контроль,Sunricher 2.4G Ecosystem · Homeelife App,Вечная работа,"Работает без батареек, нулевые затраты на обслуживание."
Sunricher SR-SBP2801K2-DIM,sunricher-sr-sbp2801k2-dim,Sunricher,b2b,Professional · 2.4G Mesh,Кинетический беспроводной выключатель,"Инновационный выключатель, которому не нужны батарейки. Вырабатывает энергию от самого нажатия клавиши.",control,Управление,wireless-buttons,Беспроводные выключатели,15200,5.0,65,RF 2.4G Mesh,Управление освещением,Sunricher 2.4G Ecosystem,Вечная работа,"Работает без батареек, нулевые затраты на обслуживание."
Sunricher SR-SBP2801K4-DIM-G2,sunricher-sr-sbp2801k4-dim-g2,Sunricher,b2b,Professional · 2.4G Mesh,Кинетический беспроводной выключатель,"Инновационный выключатель, которому не нужны батарейки. Вырабатывает энергию от самого нажатия клавиши.",control,Управление,wireless-buttons,Беспроводные выключатели,15200,4.6,115,RF 2.4G Mesh,Управление освещением,Sunricher 2.4G Ecosystem,Вечная работа,"Работает без батареек, нулевые затраты на обслуживание."
Sunricher SR-SBP2801K4-FOS,sunricher-sr-sbp2801k4-fos,Sunricher,b2b,Professional · 2.4G Mesh,Кинетический беспроводной выключатель,"Инновационный выключатель, которому не нужны батарейки. Вырабатывает энергию от самого нажатия клавиши.",control,Управление,wireless-buttons,Беспроводные выключатели,15200,4.6,92,RF 2.4G Mesh · Bluetooth,Диммирование · CCT контроль,Sunricher 2.4G Ecosystem · Homeelife App,Вечная работа,"Работает без батареек, нулевые затраты на обслуживание."
Sunricher SR-SB9011A-DS,sunricher-sr-sb9011a-ds,Sunricher,b2b,Professional · 2.4G Mesh,Беспроводной датчик открытия,Компактный геркон для дверей и окон. Автоматически включает свет при входе в комнату или открытии шкафа.,security,Безопасность,sensors,Датчики умного дома,9000,4.7,104,RF 2.4G Mesh · Bluetooth,Мониторинг,Sunricher 2.4G Ecosystem · Homeelife App,Сценарии комфорта,Идеален для создания автоматического проходного освещения без выключателей.
Sunricher SR-SB9011B-DS,sunricher-sr-sb9011b-ds,Sunricher,b2b,Professional · 2.4G Mesh,Беспроводной датчик открытия,Компактный геркон для дверей и окон. Автоматически включает свет при входе в комнату или открытии шкафа.,security,Безопасность,sensors,Датчики умного дома,9000,4.7,76,RF 2.4G Mesh,Мониторинг,Sunricher 2.4G Ecosystem,Сценарии комфорта,Идеален для создания автоматического проходного освещения без выключателей.
Sunricher SR-SB9030A-PIR-V,sunricher-sr-sb9030a-pir-v,Sunricher,b2b,Professional · 2.4G Mesh,Датчик движения и освещенности,"Мультисенсор для потолочного или накладного монтажа. Анализирует уровень света и присутствие, экономя электроэнергию.",security,Безопасность,sensors,Датчики умного дома,15700,4.9,109,RF 2.4G Mesh · Bluetooth · 0-10V,Мониторинг,Sunricher 2.4G Ecosystem · Homeelife App,Умная экономия,"Свет включается только тогда, когда это действительно нужно."
Sunricher SR-SB9030A-MW,sunricher-sr-sb9030a-mw,Sunricher,b2b,Professional · 2.4G Mesh,Датчик движения и освещенности,"Мультисенсор для потолочного или накладного монтажа. Анализирует уровень света и присутствие, экономя электроэнергию.",security,Безопасность,sensors,Датчики умного дома,15700,4.8,28,RF 2.4G Mesh · Bluetooth · 0-10V,Мониторинг,Sunricher 2.4G Ecosystem · Homeelife App,Умная экономия,"Свет включается только тогда, когда это действительно нужно."
Sunricher SR-SB9035A-PIR-V,sunricher-sr-sb9035a-pir-v,Sunricher,b2b,Professional · 2.4G Mesh,Датчик движения и освещенности,"Мультисенсор для потолочного или накладного монтажа. Анализирует уровень света и присутствие, экономя электроэнергию.",security,Безопасность,sensors,Датчики умного дома,15100,4.6,82,RF 2.4G Mesh · Bluetooth · 0-10V,Мониторинг,Sunricher 2.4G Ecosystem · Homeelife App,Умная экономия,"Свет включается только тогда, когда это действительно нужно."
Sunricher SR-SB9050A,sunricher-sr-sb9050a,Sunricher,b2b,Professional · 2.4G Mesh,Датчик протечки воды,"Беспроводной датчик протечки. Мгновенно реагирует на воду, отправляя уведомление на смартфон и запуская защитные сценарии.",security,Безопасность,sensors,Датчики умного дома,11800,4.8,44,RF 2.4G Mesh,Мониторинг,Sunricher 2.4G Ecosystem,Локальная сирена,Встроенный зуммер и LED-индикатор для моментального локального оповещения.
Sunricher SRP-SB9105N-12CC100-700,sunricher-srp-sb9105n-12cc100-700,Sunricher,b2b,Professional · 2.4G Mesh,Профессиональный LED драйвер,Диммируемый блок питания со стабилизацией тока. Гарантирует отсутствие мерцания (Flicker Free) и долгий срок службы премиальных светильников.,bus-systems,Шинные системы,led-drivers,Умные LED драйверы,8600,4.8,119,RF 2.4G Mesh · NFC,Диммирование,Sunricher 2.4G Ecosystem,Точная конфигурация,Беспроводная установка выходного тока прямо со смартфона по NFC.
Sunricher SRP-SB9105N-12CCT100-700,sunricher-srp-sb9105n-12cct100-700,Sunricher,b2b,Professional · 2.4G Mesh,Профессиональный LED драйвер,Диммируемый блок питания со стабилизацией тока. Гарантирует отсутствие мерцания (Flicker Free) и долгий срок службы премиальных светильников.,bus-systems,Шинные системы,led-drivers,Умные LED драйверы,8700,4.8,109,RF 2.4G Mesh · NFC,Диммирование,Sunricher 2.4G Ecosystem,Точная конфигурация,Беспроводная установка выходного тока прямо со смартфона по NFC.
Sunricher SRP-SB9105N-15CC100-700,sunricher-srp-sb9105n-15cc100-700,Sunricher,b2b,Professional · 2.4G Mesh,Профессиональный LED драйвер,Диммируемый блок питания со стабилизацией тока. Гарантирует отсутствие мерцания (Flicker Free) и долгий срок службы премиальных светильников.,bus-systems,Шинные системы,led-drivers,Умные LED драйверы,9100,4.9,96,RF 2.4G Mesh · NFC,Диммирование,Sunricher 2.4G Ecosystem,Точная конфигурация,Беспроводная установка выходного тока прямо со смартфона по NFC.
Sunricher SRP-SB9105N-15CCT100-700,sunricher-srp-sb9105n-15cct100-700,Sunricher,b2b,Professional · 2.4G Mesh,Профессиональный LED драйвер,Диммируемый блок питания со стабилизацией тока. Гарантирует отсутствие мерцания (Flicker Free) и долгий срок службы премиальных светильников.,bus-systems,Шинные системы,led-drivers,Умные LED драйверы,9100,4.7,88,RF 2.4G Mesh · NFC,Диммирование,Sunricher 2.4G Ecosystem,Точная конфигурация,Беспроводная установка выходного тока прямо со смартфона по NFC.
Sunricher SRP-SB9105N-25CC250-700,sunricher-srp-sb9105n-25cc250-700,Sunricher,b2b,Professional · 2.4G Mesh,Профессиональный LED драйвер,Диммируемый блок питания со стабилизацией тока. Гарантирует отсутствие мерцания (Flicker Free) и долгий срок службы премиальных светильников.,bus-systems,Шинные системы,led-drivers,Умные LED драйверы,9500,4.7,105,RF 2.4G Mesh · NFC,Диммирование,Sunricher 2.4G Ecosystem,Точная конфигурация,Беспроводная установка выходного тока прямо со смартфона по NFC.
Sunricher SRP-SB9105N-25CCT250-700,sunricher-srp-sb9105n-25cct250-700,Sunricher,b2b,Professional · 2.4G Mesh,Профессиональный LED драйвер,Диммируемый блок питания со стабилизацией тока. Гарантирует отсутствие мерцания (Flicker Free) и долгий срок службы премиальных светильников.,bus-systems,Шинные системы,led-drivers,Умные LED драйверы,10100,4.7,74,RF 2.4G Mesh · NFC,Диммирование,Sunricher 2.4G Ecosystem,Точная конфигурация,Беспроводная установка выходного тока прямо со смартфона по NFC.
Sunricher SRP-SB9105N-45CC500-1400,sunricher-srp-sb9105n-45cc500-1400,Sunricher,b2b,Professional · 2.4G Mesh,Профессиональный LED драйвер,Диммируемый блок питания со стабилизацией тока. Гарантирует отсутствие мерцания (Flicker Free) и долгий срок службы премиальных светильников.,bus-systems,Шинные системы,led-drivers,Умные LED драйверы,12300,5.0,45,RF 2.4G Mesh · NFC,Диммирование,Sunricher 2.4G Ecosystem,Точная конфигурация,Беспроводная установка выходного тока прямо со смартфона по NFC.
Sunricher SRP-SB9105N-45CCT500-1400,sunricher-srp-sb9105n-45cct500-1400,Sunricher,b2b,Professional · 2.4G Mesh,Профессиональный LED драйвер,Диммируемый блок питания со стабилизацией тока. Гарантирует отсутствие мерцания (Flicker Free) и долгий срок службы премиальных светильников.,bus-systems,Шинные системы,led-drivers,Умные LED драйверы,12800,4.6,39,RF 2.4G Mesh · NFC,Диммирование,Sunricher 2.4G Ecosystem,Точная конфигурация,Беспроводная установка выходного тока прямо со смартфона по NFC.
Sunricher SRP-SB9105-24-150LCVF,sunricher-srp-sb9105-24-150lcvf,Sunricher,b2b,Professional · 2.4G Mesh,Профессиональный LED драйвер,Диммируемый блок питания со стабилизацией тока. Гарантирует отсутствие мерцания (Flicker Free) и долгий срок службы премиальных светильников.,bus-systems,Шинные системы,led-drivers,Умные LED драйверы,36600,4.7,93,RF 2.4G Mesh,Диммирование,Sunricher 2.4G Ecosystem,Точная конфигурация,Беспроводная установка выходного тока прямо со смартфона по NFC.
Sunricher SR-3001,sunricher-sr-3001,Sunricher,b2b,Professional · 2.4G Mesh,Усилитель мощности или аксессуар,Обеспечивает стабильную и правильную работу основных контроллеров. Усилители позволяют подключать длинные участки ленты к одному сигналу.,relays-actuators,Реле и модули,amplifiers,Аксессуары и усилители,13400,4.9,35,RF 2.4G Mesh,Управление освещением,Sunricher 2.4G Ecosystem,Стабильная работа,Защищает систему от падения напряжения и мерцания.
Sunricher SR-3001NP,sunricher-sr-3001np,Sunricher,b2b,Professional · 2.4G Mesh,Усилитель мощности или аксессуар,Обеспечивает стабильную и правильную работу основных контроллеров. Усилители позволяют подключать длинные участки ленты к одному сигналу.,relays-actuators,Реле и модули,amplifiers,Аксессуары и усилители,13400,4.9,12,RF 2.4G Mesh,Управление освещением,Sunricher 2.4G Ecosystem,Стабильная работа,Защищает систему от падения напряжения и мерцания.
Sunricher SR-3001DIN,sunricher-sr-3001din,Sunricher,b2b,Professional · 2.4G Mesh,Усилитель мощности или аксессуар,Обеспечивает стабильную и правильную работу основных контроллеров. Усилители позволяют подключать длинные участки ленты к одному сигналу.,relays-actuators,Реле и модули,amplifiers,Аксессуары и усилители,13400,4.9,13,RF 2.4G Mesh,Управление освещением,Sunricher 2.4G Ecosystem,Стабильная работа,Защищает систему от падения напряжения и мерцания.
Sunricher SR-3002,sunricher-sr-3002,Sunricher,b2b,Professional · 2.4G Mesh,Усилитель мощности или аксессуар,Обеспечивает стабильную и правильную работу основных контроллеров. Усилители позволяют подключать длинные участки ленты к одному сигналу.,relays-actuators,Реле и модули,amplifiers,Аксессуары и усилители,17900,4.9,31,RF 2.4G Mesh,Управление освещением,Sunricher 2.4G Ecosystem,Стабильная работа,Защищает систему от падения напряжения и мерцания.
Sunricher SR-3002EA-5C,sunricher-sr-3002ea-5c,Sunricher,b2b,Professional · 2.4G Mesh,Универсальный многоканальный LED контроллер,"Мультиформатный модуль для LED лент. Поддерживает режимы DIM, CCT, RGBW и RGB+CCT. Работает в стабильной Mesh-сети.",relays-actuators,Реле и модули,amplifiers,Аксессуары и усилители,18600,4.8,18,RF 2.4G Mesh,Управление освещением,Sunricher 2.4G Ecosystem,Режим 4-в-1,Подстраивается под любой тип светодиодной ленты с помощью встроенных DIP-переключателей.
Sunricher SR-3003,sunricher-sr-3003,Sunricher,b2b,Professional · 2.4G Mesh,Усилитель мощности или аксессуар,Обеспечивает стабильную и правильную работу основных контроллеров. Усилители позволяют подключать длинные участки ленты к одному сигналу.,relays-actuators,Реле и модули,amplifiers,Аксессуары и усилители,14100,4.7,104,RF 2.4G Mesh,Управление освещением,Sunricher 2.4G Ecosystem,Стабильная работа,Защищает систему от падения напряжения и мерцания.
Sunricher SR-3003S,sunricher-sr-3003s,Sunricher,b2b,Professional · 2.4G Mesh,Усилитель мощности или аксессуар,Обеспечивает стабильную и правильную работу основных контроллеров. Усилители позволяют подключать длинные участки ленты к одному сигналу.,relays-actuators,Реле и модули,amplifiers,Аксессуары и усилители,6000,4.6,93,RF 2.4G Mesh,Управление освещением,Sunricher 2.4G Ecosystem,Стабильная работа,Защищает систему от падения напряжения и мерцания.
Sunricher SR-3011,sunricher-sr-3011,Sunricher,b2b,Professional · 2.4G Mesh,Профессиональный LED драйвер,Диммируемый блок питания со стабилизацией тока. Гарантирует отсутствие мерцания (Flicker Free) и долгий срок службы премиальных светильников.,bus-systems,Шинные системы,led-drivers,Умные LED драйверы,17700,5.0,96,RF 2.4G Mesh,Управление освещением,Sunricher 2.4G Ecosystem,Точная конфигурация,Беспроводная установка выходного тока прямо со смартфона по NFC.
Sunricher SR-3011NP,sunricher-sr-3011np,Sunricher,b2b,Professional · 2.4G Mesh,Профессиональный LED драйвер,Диммируемый блок питания со стабилизацией тока. Гарантирует отсутствие мерцания (Flicker Free) и долгий срок службы премиальных светильников.,bus-systems,Шинные системы,led-drivers,Умные LED драйверы,16400,4.6,39,RF 2.4G Mesh,Управление освещением,Sunricher 2.4G Ecosystem,Точная конфигурация,Беспроводная установка выходного тока прямо со смартфона по NFC.
Sunricher SR-3012,sunricher-sr-3012,Sunricher,b2b,Professional · 2.4G Mesh,Профессиональный LED драйвер,Диммируемый блок питания со стабилизацией тока. Гарантирует отсутствие мерцания (Flicker Free) и долгий срок службы премиальных светильников.,bus-systems,Шинные системы,led-drivers,Умные LED драйверы,19200,4.9,25,RF 2.4G Mesh,Управление освещением,Sunricher 2.4G Ecosystem,Точная конфигурация,Беспроводная установка выходного тока прямо со смартфона по NFC.
Sunricher SR-3012NP,sunricher-sr-3012np,Sunricher,b2b,Professional · 2.4G Mesh,Профессиональный LED драйвер,Диммируемый блок питания со стабилизацией тока. Гарантирует отсутствие мерцания (Flicker Free) и долгий срок службы премиальных светильников.,bus-systems,Шинные системы,led-drivers,Умные LED драйверы,17000,4.8,30,RF 2.4G Mesh,Управление освещением,Sunricher 2.4G Ecosystem,Точная конфигурация,Беспроводная установка выходного тока прямо со смартфона по NFC.
