Name,Slug,Brand,Group,Collection,Tagline,Description,Category Slug,Category Label,Subcategory Slug,Subcategory Label,Price,Rating,Reviews Count,Protocols,Functions,Compatibility,Primary Feature Title,Primary Feature Text
Sunricher SR-2400RL-RGB,sr-2400rl-rgb,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2400RL-RGB обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,20200,4.9,39,DALI,Диммирование,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2422K2-DIM-G1,sr-2422k2-dim-g1,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2422K2-DIM-G1 обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,16000,4.8,31,DALI,Диммирование,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2422K4-DIM-G2,sr-2422k4-dim-g2,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2422K4-DIM-G2 обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,16000,4.9,21,DALI,Диммирование,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2422K8-DIM-G4,sr-2422k8-dim-g4,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2422K8-DIM-G4 обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,16000,5.0,27,DALI,Диммирование,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2422K8-DIM-G1-S4,sr-2422k8-dim-g1-s4,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2422K8-DIM-G1-S4 обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,16000,4.7,28,DALI,Диммирование,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2422K8-CCT-G1-S2,sr-2422k8-cct-g1-s2,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2422K8-CCT-G1-S2 обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,16000,4.9,9,DALI,Диммирование · CCT контроль,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2422K8-RGBW-G1-S2,sr-2422k8-rgbw-g1-s2,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2422K8-RGBW-G1-S2 обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,16000,4.7,17,DALI,Диммирование · RGBW контроль,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2422K8-G1-S8,sr-2422k8-g1-s8,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2422K8-G1-S8 обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,16000,4.9,27,DALI,Диммирование,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2422K4-G1-S4,sr-2422k4-g1-s4,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2422K4-G1-S4 обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,16000,4.9,26,DALI,Диммирование,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2422K4-DIM-G1-S2,sr-2422k4-dim-g1-s2,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2422K4-DIM-G1-S2 обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,16000,4.9,31,DALI,Диммирование,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2422NK4-CCT-G1,sr-2422nk4-cct-g1,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2422NK4-CCT-G1 обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,27400,4.7,13,DALI,Диммирование · CCT контроль,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2422NK8-CCT-G1-S2,sr-2422nk8-cct-g1-s2,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2422NK8-CCT-G1-S2 обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,27400,4.9,20,DALI,Диммирование · CCT контроль,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2422NK8-RGBW-G1-S2,sr-2422nk8-rgbw-g1-s2,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2422NK8-RGBW-G1-S2 обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,27400,4.9,14,DALI,Диммирование · RGBW контроль,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2422NK4-RGBW-G1,sr-2422nk4-rgbw-g1,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2422NK4-RGBW-G1 обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,27400,4.8,22,DALI,Диммирование · RGBW контроль,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2422NK8-G1-S8,sr-2422nk8-g1-s8,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2422NK8-G1-S8 обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,27400,5.0,23,DALI,Диммирование,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2422NK8-DIM-G4,sr-2422nk8-dim-g4,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2422NK8-DIM-G4 обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,27400,4.9,24,DALI,Диммирование,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2422NK8-DIM-G1-S4,sr-2422nk8-dim-g1-s4,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2422NK8-DIM-G1-S4 обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,27400,4.8,17,DALI,Диммирование,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2422NK4-G1-S4,sr-2422nk4-g1-s4,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2422NK4-G1-S4 обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,27400,4.8,5,DALI,Диммирование,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2422NK4-DIM-G2,sr-2422nk4-dim-g2,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2422NK4-DIM-G2 обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,27400,4.8,43,DALI,Диммирование,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2422NK4-DIM-G1-S2,sr-2422nk4-dim-g1-s2,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2422NK4-DIM-G1-S2 обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,27400,5.0,49,DALI,Диммирование,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2422NK2-DIM-G1,sr-2422nk2-dim-g1,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2422NK2-DIM-G1 обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,27400,4.9,11,DALI,Диммирование,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2422NK2-DIM-G1-PL,sr-2422nk2-dim-g1-pl,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2422NK2-DIM-G1-PL обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,16000,4.8,49,DALI,Диммирование,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2422NK4-DIM-G2-PL,sr-2422nk4-dim-g2-pl,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2422NK4-DIM-G2-PL обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,16000,4.8,43,DALI,Диммирование,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2422NK8-DIM-G4-PL,sr-2422nk8-dim-g4-pl,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2422NK8-DIM-G4-PL обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,16000,4.9,7,DALI,Диммирование,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2422NK8-DIM-G1-S4-PL,sr-2422nk8-dim-g1-s4-pl,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2422NK8-DIM-G1-S4-PL обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,16000,5.0,23,DALI,Диммирование,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2300TS-DIM-EU,sr-2300ts-dim-eu,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2300TS-DIM-EU обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,21300,4.9,29,DALI,Диммирование,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2300TR-DIM-EU,sr-2300tr-dim-eu,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2300TR-DIM-EU обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,22800,4.8,16,DALI,Диммирование,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2300TR-G4-DIM-EU,sr-2300tr-g4-dim-eu,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2300TR-G4-DIM-EU обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,22800,4.7,43,DALI,Диммирование,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2300TR-CCT-EU,sr-2300tr-cct-eu,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2300TR-CCT-EU обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,22800,4.7,45,DALI,Диммирование · CCT контроль,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2300TR-RGBW-EU,sr-2300tr-rgbw-eu,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2300TR-RGBW-EU обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,22800,4.9,13,DALI,Диммирование · RGBW контроль,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2300TR-G4-RGBW-EU,sr-2300tr-g4-rgbw-eu,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2300TR-G4-RGBW-EU обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,22800,5.0,23,DALI,Диммирование · RGBW контроль,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2422T6-DIM-G1-S6,sr-2422t6-dim-g1-s6,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2422T6-DIM-G1-S6 обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,21300,4.8,26,DALI,Диммирование,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2422T6-DIM-G3,sr-2422t6-dim-g3,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2422T6-DIM-G3 обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,21300,5.0,49,DALI,Диммирование,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2422T6-CCT-G1,sr-2422t6-cct-g1,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2422T6-CCT-G1 обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,21300,5.0,21,DALI,Диммирование · CCT контроль,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2422T6-RGBW-G1,sr-2422t6-rgbw-g1,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2422T6-RGBW-G1 обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,21300,4.7,27,DALI,Диммирование · RGBW контроль,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2400TL,sr-2400tl,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2400TL обеспечивает надежную и бесперебойную работу вашего умного дома.,control,Управление,wired-panels,Проводные панели,21300,4.8,29,DALI,Диммирование,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2400TG,sr-2400tg,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2400TG обеспечивает надежную и бесперебойную работу вашего умного дома.,control,Управление,wired-panels,Проводные панели,21300,4.9,8,DALI,Диммирование,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2400TS,sr-2400ts,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2400TS обеспечивает надежную и бесперебойную работу вашего умного дома.,control,Управление,wired-panels,Проводные панели,21300,4.9,5,DALI,Диммирование,DALI Ecosystem,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2400R-DA2,sr-2400r-da2,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2400R-DA2 обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,27800,4.7,45,DALI-2,Диммирование,DALI Ecosystem · DALI-2 Certified,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2410R-DA2,sr-2410r-da2,Sunricher,b2b,Professional · DALI,Профессиональное управление освещением,Высококачественное устройство Sunricher для систем DALI. Модель SR-2410R-DA2 обеспечивает надежную и бесперебойную работу вашего умного дома.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,27800,4.9,29,DALI-2,Диммирование,DALI Ecosystem · DALI-2 Certified,DALI стандарт,Полная совместимость со всеми сертифицированными устройствами стандарта DALI.
Sunricher SR-2422NK4-PRO-PL,sr-2422nk4-pro-pl,Sunricher,b2b,Professional · DALI,Сенсорная панель управления DALI,"Стильная настенная панель для управления DALI-шиной. Поддерживает контроль яркости, цветовой температуры и запуск сценариев.",control,Управление,wired-panels,Проводные панели,22800,4.9,23,DALI-2 · Bluetooth,Диммирование · CCT контроль · RGBW контроль,DALI Ecosystem · DALI-2 Certified,Премиальный дизайн,Гладкое стекло и чувствительный сенсор для идеального управления светом.
Sunricher SR-2422NK8-PRO-PL,sr-2422nk8-pro-pl,Sunricher,b2b,Professional · DALI,Сенсорная панель управления DALI,"Стильная настенная панель для управления DALI-шиной. Поддерживает контроль яркости, цветовой температуры и запуск сценариев.",control,Управление,wired-panels,Проводные панели,22800,4.8,17,DALI-2 · Bluetooth,Диммирование · CCT контроль · RGBW контроль,DALI Ecosystem · DALI-2 Certified,Премиальный дизайн,Гладкое стекло и чувствительный сенсор для идеального управления светом.
Sunricher SR-2422K2-DA2-WSK,sr-2422k2-da2-wsk,Sunricher,b2b,Professional · DALI,Сенсорная панель управления DALI,"Стильная настенная панель для управления DALI-шиной. Поддерживает контроль яркости, цветовой температуры и запуск сценариев.",control,Управление,wired-panels,Проводные панели,18200,5.0,39,DALI-2,Диммирование,DALI Ecosystem · DALI-2 Certified,Премиальный дизайн,Гладкое стекло и чувствительный сенсор для идеального управления светом.
Sunricher SR-2422K4DA2-WSK,sr-2422k4da2-wsk,Sunricher,b2b,Professional · DALI,Сенсорная панель управления DALI,"Стильная настенная панель для управления DALI-шиной. Поддерживает контроль яркости, цветовой температуры и запуск сценариев.",control,Управление,wired-panels,Проводные панели,18200,5.0,46,DALI-2,Диммирование,DALI Ecosystem · DALI-2 Certified,Премиальный дизайн,Гладкое стекло и чувствительный сенсор для идеального управления светом.
Sunricher SR-2422K6-DA2-WSK,sr-2422k6-da2-wsk,Sunricher,b2b,Professional · DALI,Сенсорная панель управления DALI,"Стильная настенная панель для управления DALI-шиной. Поддерживает контроль яркости, цветовой температуры и запуск сценариев.",control,Управление,wired-panels,Проводные панели,18200,4.7,49,DALI-2,Диммирование,DALI Ecosystem · DALI-2 Certified,Премиальный дизайн,Гладкое стекло и чувствительный сенсор для идеального управления светом.
Sunricher SR-2422K8-DA2-WSK,sr-2422k8-da2-wsk,Sunricher,b2b,Professional · DALI,Сенсорная панель управления DALI,"Стильная настенная панель для управления DALI-шиной. Поддерживает контроль яркости, цветовой температуры и запуск сценариев.",control,Управление,wired-panels,Проводные панели,18200,4.9,7,DALI-2,Диммирование,DALI Ecosystem · DALI-2 Certified,Премиальный дизайн,Гладкое стекло и чувствительный сенсор для идеального управления светом.
Sunricher SR-2422T8-DA2,sr-2422t8-da2,Sunricher,b2b,Professional · DALI,Сенсорная панель управления DALI,"Стильная настенная панель для управления DALI-шиной. Поддерживает контроль яркости, цветовой температуры и запуск сценариев.",control,Управление,wired-panels,Проводные панели,27800,4.9,16,DALI-2,Диммирование,DALI Ecosystem · DALI-2 Certified,Премиальный дизайн,Гладкое стекло и чувствительный сенсор для идеального управления светом.
Sunricher SR-2422T6-DA2-US,sr-2422t6-da2-us,Sunricher,b2b,Professional · DALI,Сенсорная панель управления DALI,"Стильная настенная панель для управления DALI-шиной. Поддерживает контроль яркости, цветовой температуры и запуск сценариев.",control,Управление,wired-panels,Проводные панели,27800,4.8,28,DALI-2,Диммирование,DALI Ecosystem · DALI-2 Certified,Премиальный дизайн,Гладкое стекло и чувствительный сенсор для идеального управления светом.
Sunricher SR-2422K2-DA2,sr-2422k2-da2,Sunricher,b2b,Professional · DALI,Сенсорная панель управления DALI,"Стильная настенная панель для управления DALI-шиной. Поддерживает контроль яркости, цветовой температуры и запуск сценариев.",control,Управление,wired-panels,Проводные панели,17600,4.8,5,DALI-2,Диммирование,DALI Ecosystem · DALI-2 Certified,Премиальный дизайн,Гладкое стекло и чувствительный сенсор для идеального управления светом.
Sunricher SR-2422K4-DA2,sr-2422k4-da2,Sunricher,b2b,Professional · DALI,Сенсорная панель управления DALI,"Стильная настенная панель для управления DALI-шиной. Поддерживает контроль яркости, цветовой температуры и запуск сценариев.",control,Управление,wired-panels,Проводные панели,17600,4.8,45,DALI-2,Диммирование,DALI Ecosystem · DALI-2 Certified,Премиальный дизайн,Гладкое стекло и чувствительный сенсор для идеального управления светом.
Sunricher SR-2422K6-DA2,sr-2422k6-da2,Sunricher,b2b,Professional · DALI,Сенсорная панель управления DALI,"Стильная настенная панель для управления DALI-шиной. Поддерживает контроль яркости, цветовой температуры и запуск сценариев.",control,Управление,wired-panels,Проводные панели,17600,4.9,8,DALI-2,Диммирование,DALI Ecosystem · DALI-2 Certified,Премиальный дизайн,Гладкое стекло и чувствительный сенсор для идеального управления светом.
Sunricher SR-2422K8-DA2,sr-2422k8-da2,Sunricher,b2b,Professional · DALI,Сенсорная панель управления DALI,"Стильная настенная панель для управления DALI-шиной. Поддерживает контроль яркости, цветовой температуры и запуск сценариев.",control,Управление,wired-panels,Проводные панели,17600,4.7,11,DALI-2,Диммирование,DALI Ecosystem · DALI-2 Certified,Премиальный дизайн,Гладкое стекло и чувствительный сенсор для идеального управления светом.
Sunricher SR-2422NK2-DA2,sr-2422nk2-da2,Sunricher,b2b,Professional · DALI,Сенсорная панель управления DALI,"Стильная настенная панель для управления DALI-шиной. Поддерживает контроль яркости, цветовой температуры и запуск сценариев.",control,Управление,wired-panels,Проводные панели,27400,5.0,35,DALI-2,Диммирование,DALI Ecosystem · DALI-2 Certified,Премиальный дизайн,Гладкое стекло и чувствительный сенсор для идеального управления светом.
Sunricher SR-2422NK4-DA2,sr-2422nk4-da2,Sunricher,b2b,Professional · DALI,Сенсорная панель управления DALI,"Стильная настенная панель для управления DALI-шиной. Поддерживает контроль яркости, цветовой температуры и запуск сценариев.",control,Управление,wired-panels,Проводные панели,27400,4.9,10,DALI-2,Диммирование,DALI Ecosystem · DALI-2 Certified,Премиальный дизайн,Гладкое стекло и чувствительный сенсор для идеального управления светом.
Sunricher SR-2422NK8-DA2,sr-2422nk8-da2,Sunricher,b2b,Professional · DALI,Сенсорная панель управления DALI,"Стильная настенная панель для управления DALI-шиной. Поддерживает контроль яркости, цветовой температуры и запуск сценариев.",control,Управление,wired-panels,Проводные панели,27400,4.8,45,DALI-2,Диммирование,DALI Ecosystem · DALI-2 Certified,Премиальный дизайн,Гладкое стекло и чувствительный сенсор для идеального управления светом.
Sunricher SR-2422T2-DA2,sr-2422t2-da2,Sunricher,b2b,Professional · DALI,Сенсорная панель управления DALI,"Стильная настенная панель для управления DALI-шиной. Поддерживает контроль яркости, цветовой температуры и запуск сценариев.",control,Управление,wired-panels,Проводные панели,27800,4.8,18,DALI-2,Диммирование,DALI Ecosystem · DALI-2 Certified,Премиальный дизайн,Гладкое стекло и чувствительный сенсор для идеального управления светом.
Sunricher SR-2422T4-DA2,sr-2422t4-da2,Sunricher,b2b,Professional · DALI,Сенсорная панель управления DALI,"Стильная настенная панель для управления DALI-шиной. Поддерживает контроль яркости, цветовой температуры и запуск сценариев.",control,Управление,wired-panels,Проводные панели,27800,5.0,31,DALI-2,Диммирование,DALI Ecosystem · DALI-2 Certified,Премиальный дизайн,Гладкое стекло и чувствительный сенсор для идеального управления светом.
Sunricher SR-2422T6-DA2,sr-2422t6-da2,Sunricher,b2b,Professional · DALI,Сенсорная панель управления DALI,"Стильная настенная панель для управления DALI-шиной. Поддерживает контроль яркости, цветовой температуры и запуск сценариев.",control,Управление,wired-panels,Проводные панели,27800,4.7,6,DALI-2,Диммирование,DALI Ecosystem · DALI-2 Certified,Премиальный дизайн,Гладкое стекло и чувствительный сенсор для идеального управления светом.
Sunricher SR-DA2833P-DA2,sr-da2833p-da2,Sunricher,b2b,Professional · DALI,Главный контроллер (Master) DALI,Центральное устройство для адресации и управления всей DALI-сетью. Позволяет настраивать группы и сцены через ПО.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,16600,4.9,41,DALI-2,Диммирование · Push DIM,DALI Ecosystem · DALI-2 Certified,Центр системы,Обеспечивает питание шины и маршрутизацию команд для всех светильников.
Sunricher SR-DA2833PN-DA2,sr-da2833pn-da2,Sunricher,b2b,Professional · DALI,Умный LED драйвер с настройкой по NFC,Программируемый блок питания для светодиодного освещения. Позволяет точно задавать выходной ток с помощью смартфона через NFC без подключения к сети.,gateways-protocols,Протоколы и Шлюзы,dali-masters,DALI Мастера,17400,4.9,16,DALI-2 · NFC · Bluetooth,Диммирование,DALI Ecosystem · DALI-2 Certified,Конфигурация по NFC,Настройка рабочих параметров драйвера за секунды с помощью приложения.
